社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_v2,rank_v1
鑫鼎社区,0,1,4,38,8,0.33320269490504395,0.00480081970012554,0.0,12.5,500.0,4750.0,3.0011762068280383,126.04940068677762,0.9225710238943776,8.09024852087089,354.5535765489253,4502.646824913822,0.791158536585366,16,24.0
建设社区,0,9,52,320,66,0.3081234590168105,0.028646408347113607,0.0,13.636363636363635,787.8787878787879,4848.484848484849,314.17551167132035,12985.921149081241,0.1393717112217425,12.595205120052352,747.3989355860293,4816.272603096309,0.7835365853658537,17,39.0
花艳社区,0,2,12,85,23,1.5914616182016916,0.013841282469171257,0.0,8.695652173913043,521.7391304347826,3695.6521739130435,144.4952810156579,7008.021129259408,0.3760501792867164,7.388344865683038,454.47179700949806,3627.473413330762,0.774390243902439,18,14.0
伍临路社区,0,8,21,200,55,0.48281000102584687,0.027799031726926896,0.0,14.545454545454545,381.8181818181818,3636.363636363636,287.77980753376323,7949.917183120209,0.1661172911799229,13.21272604816443,360.26377562153715,3608.0185195936483,0.7705792682926829,19,17.0
珠海路社区,2,3,12,62,42,0.548008452559792,0.03658252706491372,4.761904761904762,7.142857142857142,285.7142857142857,1476.1904761904764,136.67727194263455,2022.823624750991,4.727354581622104,6.571338884354394,266.0955088710823,1463.0391712640317,0.7667682926829268,20,19.0
万达社区,0,7,50,451,69,0.38603090929269407,0.03678963973487424,0.0,10.144927536231885,724.6376811594203,6536.231884057971,190.27095808618222,13617.96428588247,0.13350928721716246,9.483747993389043,689.1581316621623,6494.009268464898,0.7637195121951219,21,129.0
翁家堰社区,1,8,10,41,53,0.12230625982252441,0.02362995649434431,1.8867924528301887,15.09433962264151,188.67924528301887,773.5849056603774,380.8724744014699,2158.277354941663,1.9797480291579406,13.650069956548558,179.41104567537496,769.3058546262386,0.7621951219512195,22,18.0
大学路社区,1,6,44,178,97,1.8850592306007283,0.07417226837719469,1.0309278350515463,6.185567010309279,453.6082474226804,1835.0515463917525,94.37489446058588,2993.0323671785804,1.1027055600988998,5.983117139808963,438.2983482662738,1827.5934222201631,0.7560975609756098,23,31.0
新隆康路社区,47,15,9,55,130,0.2667614147030625,0.06005376073504424,36.15384615384615,11.538461538461538,69.23076923076924,423.0769230769231,1032.4082828641244,1065.7117758597412,35.59159023021245,11.095501714627716,68.72088638438528,422.58403748538285,0.7560975609756098,24,20.0
沈家店社区,0,3,2,81,21,0.2605152366695955,0.011808723879430343,0.0,14.285714285714285,95.23809523809523,3857.1428571428573,254.0494663632292,7028.701902716007,0.4082998171882611,11.426565370970494,88.47121243861015,3779.082813192737,0.7469512195121951,25,59.0
西峡社区,82,9,4,31,78,0.2575131596177812,0.04876105846506202,105.12820512820514,11.538461538461538,51.28205128205128,397.4358974358974,1866.243327453664,717.7858951744862,102.20865370672763,10.825855119112402,51.2901328628683,396.76973561832597,0.743140243902439,26,22.0
白沙路社区,0,6,8,57,39,0.2993244084356639,0.026904266477885436,0.0,15.384615384615385,205.1282051282051,1461.5384615384614,223.01295613957117,2415.973691512021,0.23043963547671933,13.458374051184627,191.35706887015618,1447.5617603602066,0.7408536585365854,27,33.0
