社区,楼栋数,体检点_2025,体检点_2026新增,体检点_全覆盖,诉求件_12345,客观高,主观高,两表重叠,客观档,主观档
徐家坝社区,129.0,2,0,2,37.0,False,False,False,,
岳家冲社区,29.0,0,0,0,,False,False,False,,
北山坡社区,68.0,10,0,10,25.0,False,False,False,,
岳湾路社区,83.0,2,0,2,225.0,False,True,False,,深（≥200·每2天至少1件）
中南路社区,28.0,0,0,0,59.0,False,True,False,,浅（50~99·每周约1件）
张家坡社区,85.0,2,0,2,42.0,False,False,False,,
金家台社区,63.0,4,0,4,42.0,False,False,False,,
港务社区,106.0,17,0,17,417.0,True,True,True,浅（15~29）,深（≥200·每2天至少1件）
环城东路社区,64.0,28,0,28,14.0,True,False,False,浅（15~29）,
胜利二路社区,30.0,9,0,9,111.0,False,True,False,,中（100~199·每周约2件）
张家店社区,80.0,12,0,12,72.0,False,True,False,,浅（50~99·每周约1件）
胜利四路社区,44.0,16,0,16,115.0,True,True,True,浅（15~29）,中（100~199·每周约2件）
新隆康路社区,130.0,62,0,62,64.0,True,True,True,深（≥60）,浅（50~99·每周约1件）
建设社区,66.0,9,0,9,372.0,False,True,False,,深（≥200·每2天至少1件）
万达社区,69.0,7,0,7,501.0,False,True,False,,深（≥200·每2天至少1件）
杨岔路社区,63.0,21,0,21,31.0,True,False,False,浅（15~29）,
八一路社区,58.0,2,0,2,37.0,False,False,False,,
白沙脑社区,26.0,0,0,0,18.0,False,False,False,,
东艳路社区,28.0,5,0,5,9.0,False,False,False,,
花艳社区,23.0,2,0,2,97.0,False,True,False,,浅（50~99·每周约1件）
白马山社区,31.0,5,0,5,47.0,False,False,False,,
白沙路社区,39.0,6,0,6,65.0,False,True,False,,浅（50~99·每周约1件）
桔城路社区,73.0,26,0,26,31.0,True,False,False,浅（15~29）,
墨池巷社区,24.0,5,0,5,,False,False,False,,
临江溪社区,8.0,1,0,1,38.0,False,False,False,,
龙盘湖社区,363.0,1,0,1,11.0,False,False,False,,
柏临河路社区,60.0,1,0,1,88.0,False,True,False,,浅（50~99·每周约1件）
沈家店社区,21.0,3,0,3,83.0,False,True,False,,浅（50~99·每周约1件）
王家河社区,66.0,25,0,25,6.0,True,False,False,浅（15~29）,
伍临路社区,55.0,8,0,8,221.0,False,True,False,,深（≥200·每2天至少1件）
东站路社区,41.0,0,0,0,69.0,False,True,False,,浅（50~99·每周约1件）
枫香树社区,28.0,1,0,1,126.0,False,True,False,,中（100~199·每周约2件）
西峡社区,78.0,91,0,91,35.0,True,False,False,深（≥60）,
光明路社区,83.0,8,0,8,,False,False,False,,
三峡物流园社区,23.0,2,0,2,38.0,False,False,False,,
金巴岭社区,16.0,1,0,1,3.0,False,False,False,,
张家湾社区,39.0,0,0,0,187.0,False,True,False,,中（100~199·每周约2件）
临江坪社区,,0,0,0,2.0,False,False,False,,
石子岭社区,60.0,10,0,10,2.0,False,False,False,,
东方社区,39.0,0,0,0,2.0,False,False,False,,
东湖社区,654.0,25,0,25,26.0,True,False,False,浅（15~29）,
锦绣社区,30.0,0,0,0,10.0,False,False,False,,
清波路社区,60.0,19,0,19,,True,False,False,浅（15~29）,
甲街社区,65.0,6,0,6,1.0,False,False,False,,
桥北社区,48.0,37,0,37,,True,False,False,中（30~59）,
幸福路社区,58.0,65,0,65,1.0,True,False,False,深（≥60）,
丫口社区,115.0,34,0,34,,True,False,False,中（30~59）,
常刘路社区,52.0,2,0,2,25.0,False,False,False,,
船柴社区,39.0,5,0,5,16.0,False,False,False,,
大学路社区,97.0,7,0,7,222.0,False,True,False,,深（≥200·每2天至少1件）
刘家大堰社区,64.0,25,0,25,22.0,True,False,False,浅（15~29）,
樵湖岭社区,64.0,24,0,24,1.0,True,False,False,浅（15~29）,
中书街社区,34.0,6,0,6,6.0,False,False,False,,
土街头社区,38.0,13,0,13,4.0,False,False,False,,
香锦社区,67.0,34,0,34,39.0,True,False,False,中（30~59）,
尚书巷社区,62.0,8,0,8,,False,False,False,,
土城路社区,119.0,0,0,0,25.0,False,False,False,,
环城北路社区,58.0,5,0,5,,False,False,False,,
营盘路社区,66.0,37,0,37,117.0,True,True,True,中（30~59）,中（100~199·每周约2件）
东门外正街社区,52.0,35,0,35,8.0,True,False,False,中（30~59）,
朝阳路社区,84.0,11,0,11,594.0,False,True,False,,深（≥200·每2天至少1件）
果园路社区,93.0,51,0,51,73.0,True,True,True,中（30~59）,浅（50~99·每周约1件）
大树湾社区,,0,0,0,17.0,False,False,False,,
东山社区,59.0,0,0,0,10.0,False,False,False,,
黑虎山社区,4.0,0,0,0,8.0,False,False,False,,
金斗山社区,45.0,0,0,0,32.0,False,False,False,,
后坪社区,134.0,0,0,0,,False,False,False,,
黄河路社区,122.0,8,0,8,48.0,False,False,False,,
沙河社区,246.0,1,0,1,54.0,False,True,False,,浅（50~99·每周约1件）
小林园社区,56.0,9,0,9,93.0,False,True,False,,浅（50~99·每周约1件）
石板社区,104.0,0,0,0,31.0,False,False,False,,
大堰湾社区,91.0,3,0,3,66.0,False,True,False,,浅（50~99·每周约1件）
肖家岗社区,70.0,20,0,20,25.0,True,False,False,浅（15~29）,
山庄路社区,78.0,12,0,12,53.0,False,True,False,,浅（50~99·每周约1件）
上导堤社区,79.0,9,0,9,1.0,False,False,False,,
二马路社区,158.0,37,0,37,6.0,True,False,False,中（30~59）,
夜明珠社区,94.0,6,0,6,,False,False,False,,
英雄山社区,93.0,5,0,5,2.0,False,False,False,,
桃花岭社区,90.0,31,0,31,15.0,True,False,False,中（30~59）,
夷陵路社区,81.0,18,0,18,14.0,True,False,False,浅（15~29）,
体育场路社区,89.0,19,0,19,136.0,True,True,True,浅（15~29）,中（100~199·每周约2件）
赵家湾社区,44.0,26,0,26,28.0,True,False,False,浅（15~29）,
蔡家畈社区,642.0,0,2,2,17.0,False,False,False,,
朝阳社区,282.0,0,18,18,31.0,True,False,False,浅（15~29）,
丁家坝社区,627.0,0,17,17,6.0,True,False,False,浅（15~29）,
东城社区,887.0,0,4,4,191.0,False,True,False,,中（100~199·每周约2件）
冯家湾社区,405.0,0,0,0,108.0,False,True,False,,中（100~199·每周约2件）
港虹社区,456.0,0,4,4,52.0,False,True,False,,浅（50~99·每周约1件）
古老背社区,875.0,0,8,8,,False,False,False,,
红光社区,54.0,0,22,22,5.0,True,False,False,浅（15~29）,
虎牙社区,399.0,0,10,10,5.0,False,False,False,,
黄金卡社区,963.0,0,4,4,78.0,False,True,False,,浅（50~99·每周约1件）
黄龙寺社区,837.0,0,1,1,11.0,False,False,False,,
鸡山社区,55.0,0,7,7,5.0,False,False,False,,
锦湖社区,380.0,0,4,4,10.0,False,False,False,,
锦江社区,71.0,0,25,25,6.0,True,False,False,浅（15~29）,
锦云社区,210.0,0,1,1,56.0,False,True,False,,浅（50~99·每周约1件）
六泉湖社区,231.0,0,37,37,22.0,True,False,False,中（30~59）,
绿洲社区,46.0,0,12,12,3.0,False,False,False,,
梅子溪社区,254.0,0,11,11,6.0,False,False,False,,
磨盘社区,132.0,0,4,4,29.0,False,False,False,,
南津关社区,204.0,0,0,0,,False,False,False,,
平湖社区,441.0,0,0,0,,False,False,False,,
平云社区,425.0,0,15,15,31.0,True,False,False,浅（15~29）,
七里新村社区,48.0,0,5,5,,False,False,False,,
润城社区,94.0,0,110,110,1.0,True,False,False,深（≥60）,
石板冲社区,503.0,0,2,2,4.0,False,False,False,,
双桥社区,761.0,0,7,7,1.0,False,False,False,,
谭家榜社区,246.0,0,9,9,,False,False,False,,
谭家河社区,129.0,0,2,2,2.0,False,False,False,,
桐岭社区,703.0,0,2,2,21.0,False,False,False,,
桐岭新村社区,80.0,0,3,3,6.0,False,False,False,,
望江社区,222.0,0,2,2,,False,False,False,,
五龙社区,117.0,0,112,112,24.0,True,False,False,深（≥60）,
峡江社区,428.0,0,66,66,1.0,True,False,False,深（≥60）,
下马槽社区,152.0,0,4,4,5.0,False,False,False,,
新金岭社区,6.0,0,0,0,9.0,False,False,False,,
兴安社区,658.0,0,0,0,83.0,False,True,False,,浅（50~99·每周约1件）
营盘社区,660.0,0,13,13,20.0,False,False,False,,
永兴社区,548.0,0,7,7,,False,False,False,,
云池社区,288.0,0,18,18,7.0,True,False,False,浅（15~29）,
长江市场社区,388.0,0,21,21,,True,False,False,浅（15~29）,
长江新村社区,74.0,0,1,1,1.0,False,False,False,,
至喜社区,155.0,0,6,6,7.0,False,False,False,,
朱市街社区,240.0,0,4,4,36.0,False,False,False,,
