社区,area_km2,bldg_n,resi_km2
清波路社区,0.3519018589892524,60.0,0.03622447109198304
甲街社区,0.9314697158892612,65.0,0.018056592435450085
桥北社区,0.20315657973058807,48.0,0.0327345518814396
幸福路社区,0.39670805651742547,58.0,0.03143917898594929
丫口社区,0.18133735308404023,115.0,0.04453508170920108
常刘路社区,0.3396401904361982,52.0,0.020492960944744898
船柴社区,1.0845775389903636,39.0,0.028184152199691465
大学路社区,1.8850592306007283,97.0,0.07417226837719469
刘家大堰社区,0.1566179180315651,64.0,0.048762841451284074
樵湖岭社区,0.14925713124354353,64.0,0.04183516626454107
中书街社区,0.4157557303654487,34.0,0.024115012181617188
土街头社区,0.1802121440348813,38.0,0.019252636706939875
香锦社区,0.5875582183498853,67.0,0.03743570069320851
尚书巷社区,0.3393979925818536,62.0,0.03188744806588107
土城路社区,0.32497230747073896,119.0,0.045980447947741886
环城北路社区,0.09642610703299656,58.0,0.03685389451277472
营盘路社区,0.3343695820302909,66.0,0.018969356001181874
东门外正街社区,0.18603485670994463,52.0,0.03710121685270978
朝阳路社区,2.351654379148879,84.0,0.03898557538571295
果园路社区,0.43476168298271195,93.0,0.05069830836913655
大树湾社区,2.925670918048659,,
东山社区,0.19820684963456972,59.0,0.02764099066884371
黑虎山社区,4.564465540101656,4.0,0.0032405339136315917
金斗山社区,1.303813086191352,45.0,0.028542796400331034
后坪社区,0.8124543575377838,134.0,0.02604014546623746
黄河路社区,1.2549226852782587,122.0,0.04283113194257902
沙河社区,3.001243271617827,246.0,0.059864428252014164
小林园社区,0.1773175497078636,56.0,0.025920145379688748
石板社区,5.268713647776033,104.0,0.03129561763832972
大堰湾社区,0.299644801421075,91.0,0.04598249645279628
肖家岗社区,0.23308312977059226,70.0,0.04580611019922959
山庄路社区,0.2524153273662153,78.0,0.03303847395296575
上导堤社区,0.9953170675344184,79.0,0.033213023298074996
二马路社区,0.31000827542319126,158.0,0.03832594615761569
夜明珠社区,0.9374781101272958,94.0,0.04240413137986919
英雄山社区,0.20643021991751526,93.0,0.023483415327886673
桃花岭社区,0.14163022983547316,90.0,0.04282530586686541
夷陵路社区,0.21300710219584235,81.0,0.025423536019567337
体育场路社区,1.0090519358675896,89.0,0.04608713399192749
赵家湾社区,0.32115911278496106,44.0,0.024782028440730734
蔡家畈社区,2.184645300715707,642.0,0.7358882268137252
朝阳社区,0.35928141946807063,282.0,0.2283633720506526
丁家坝社区,5.6329866620108655,627.0,0.5009016478905512
东城社区,1.1887657432658134,887.0,0.677534101149691
冯家湾社区,1.2783384808205769,405.0,0.48175139264998434
港虹社区,1.0707095780907285,456.0,0.5288007975435951
古老背社区,0.9528975477291358,875.0,0.37575685859003044
红光社区,2.151950001116463,54.0,0.1989154339981591
虎牙社区,5.590594928564548,399.0,0.666264673947712
黄金卡社区,2.4210505692977544,963.0,0.6026832613205066
黄龙寺社区,9.589751971577686,837.0,3.333011588830039
鸡山社区,5.607384124182448,55.0,0.1937981033494981
锦湖社区,1.5054436674944367,380.0,1.0741836816324501
锦江社区,1.8548585272457123,71.0,0.40772743987433246
锦云社区,2.6781172075738455,210.0,0.6306966426310131
六泉湖社区,4.885879724558363,231.0,2.1889521356042883
绿洲社区,0.8598757663196883,46.0,0.3170031653406754
梅子溪社区,1.2230566625315364,254.0,0.7481571222288116
磨盘社区,10.840974551455123,132.0,5.4111443324905615
南津关社区,4.863405041261657,204.0,0.29008887611061285
平湖社区,0.36917498936690707,441.0,0.15919828035712857
平云社区,0.9049012801437827,425.0,0.4864360553378985
七里新村社区,0.27530549099093643,48.0,0.16712491164735147
润城社区,0.5346220120022117,94.0,0.3765489647991438
石板冲社区,6.457713090136135,503.0,1.9448041186467542
双桥社区,0.5299271970126511,761.0,0.3720787156350304
谭家榜社区,0.10672144082130076,246.0,0.06670622728819056
谭家河社区,8.142024661386186,129.0,8.142024661386186
桐岭社区,0.9115994116570868,703.0,0.42049944857186766
桐岭新村社区,0.7869884363211461,80.0,0.25656568953186415
望江社区,0.7616277367468713,222.0,0.3274498512802673
五龙社区,5.813371417806615,117.0,0.8835254791730477
峡江社区,0.5581723292220788,428.0,0.4091272649586588
下马槽社区,7.453363916338428,152.0,0.04281146391338248
新金岭社区,10.577202389360119,6.0,0.07752597945640381
兴安社区,1.5010021572827899,658.0,0.42799207111546156
营盘社区,0.43452794652357496,660.0,0.27722882498073753
永兴社区,0.3491382510699397,548.0,0.20260676323290688
云池社区,3.516387628436694,288.0,0.6512581175511551
长江市场社区,0.6714587700959912,388.0,0.41539715946765043
长江新村社区,7.375692769778656,74.0,1.5997686988376492
至喜社区,1.6990153522359297,155.0,0.5463814532633295
朱市街社区,3.170066819241295,240.0,0.515209353045208
