board,中类,指标,街办,点数,占比
民生基础需求,公服设施,未达标配建幼儿园的小区数量（个）,伍家岗街办,3,0.2727
民生基础需求,公服设施,未达标配建幼儿园的小区数量（个）,夜明珠街办,3,0.2727
民生基础需求,公服设施,未达标配建幼儿园的小区数量（个）,西陵街办,2,0.1818
民生基础需求,公服设施,未达标配建幼儿园的小区数量（个）,云集街办,1,0.0909
民生基础需求,公服设施,未达标配建幼儿园的小区数量（个）,学院街办,1,0.0909
民生基础需求,公服设施,未达标配建幼儿园的小区数量（个）,东苑管理区,1,0.0909
民生基础需求,公服设施,未达标配建公共活动场地的小区数量（个）,葛洲坝街办,7,0.2593
民生基础需求,公服设施,未达标配建公共活动场地的小区数量（个）,西陵街办,7,0.2593
民生基础需求,公服设施,未达标配建公共活动场地的小区数量（个）,南苑管理区,5,0.1852
民生基础需求,公服设施,未达标配建公共活动场地的小区数量（个）,云集街办,2,0.0741
民生基础需求,公服设施,未达标配建公共活动场地的小区数量（个）,夜明珠街办,2,0.0741
民生基础需求,公服设施,未达标配建公共活动场地的小区数量（个）,学院街办,2,0.0741
民生基础需求,公服设施,未达标配建公共活动场地的小区数量（个）,万寿桥街办,1,0.037
民生基础需求,公服设施,未达标配建公共活动场地的小区数量（个）,宝塔河街办,1,0.037
民生基础需求,公服设施,未达标配建的多功能运动场地数量（个）,学院街办,1,0.1667
民生基础需求,公服设施,未达标配建的多功能运动场地数量（个）,夜明珠街办,1,0.1667
民生基础需求,公服设施,未达标配建的多功能运动场地数量（个）,西陵街办,1,0.1667
民生基础需求,公服设施,未达标配建的多功能运动场地数量（个）,大公桥街办,1,0.1667
民生基础需求,公服设施,未达标配建的多功能运动场地数量（个）,东苑管理区,1,0.1667
民生基础需求,公服设施,未达标配建的多功能运动场地数量（个）,生物产业园,1,0.1667
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,宝塔河街办,59,0.1398
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,伍家乡,53,0.1256
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,西陵街办,35,0.0829
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,云集街办,35,0.0829
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,学院街办,35,0.0829
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,伍家岗街办,31,0.0735
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,南苑管理区,29,0.0687
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,西坝街办,26,0.0616
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,夜明珠街办,25,0.0592
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,葛洲坝街办,21,0.0498
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,万寿桥街办,19,0.045
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,大公桥街办,16,0.0379
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,窑湾街办,15,0.0355
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,东苑管理区,15,0.0355
民生基础需求,公服设施,菜市场（生鲜超市）覆盖率（%）,北苑管理区,8,0.019
民生基础需求,公服设施,小学学位缺口数（个）,伍家岗街办,6,0.1935
民生基础需求,公服设施,小学学位缺口数（个）,西陵街办,4,0.129
民生基础需求,公服设施,小学学位缺口数（个）,夜明珠街办,3,0.0968
民生基础需求,公服设施,小学学位缺口数（个）,宝塔河街办,3,0.0968
民生基础需求,公服设施,小学学位缺口数（个）,学院街办,3,0.0968
民生基础需求,公服设施,小学学位缺口数（个）,云集街办,3,0.0968
民生基础需求,公服设施,小学学位缺口数（个）,窑湾街办,2,0.0645
