社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_new,rank_old,Δ(old-new)
伍临路社区,0,8,24,269,55,0.48281000102584687,0.027799031726926896,0.0,14.545454545454545,436.3636363636363,4890.909090909091,287.77980753376323,10539.935450924078,0.1816259618451085,13.220198023526288,425.93611813665837,4871.89618384706,0.7587025316455697,17,25,8
翁家堰社区,1,8,10,41,53,0.12230625982252441,0.02362995649434431,1.8867924528301887,15.09433962264151,188.67924528301887,773.5849056603774,380.8724744014699,2158.277354941663,1.9951669048993121,13.656566094795187,185.1726942265536,771.9286193218563,0.7531645569620253,18,58,40
珠海路社区,2,3,13,46,42,0.548008452559792,0.03658252706491372,4.761904761904762,7.142857142857142,309.5238095238095,1095.2380952380954,136.67727194263455,1612.7918089230875,4.745368991036064,6.603451359506966,300.67101568252656,1091.370988266554,0.7420886075949367,19,27,8
新隆康路社区,47,15,6,60,130,0.2667614147030625,0.06005376073504424,36.15384615384615,11.538461538461538,46.15384615384615,461.53846153846155,1032.4082828641244,1099.0152688553583,35.59299840213836,11.101506967523514,46.44253671819391,461.421265703955,0.740506329113924,20,6,-14
金巴岭社区,0,1,10,39,16,2.1863109775439864,0.0,0.0,6.25,625.0,2437.5,0.45739147370670924,22.412182211628753,0.5678314535301654,5.40345498352523,574.231728826727,2408.1207985346377,0.7325949367088608,21,73,52
西峡社区,82,9,3,20,78,0.2575131596177812,0.04876105846506202,105.12820512820514,11.538461538461538,38.46153846153847,256.4102564102564,1866.243327453664,471.68787397180523,102.19452046032642,10.836042336290358,39.094377494614335,256.8277728040226,0.7278481012658228,22,15,-7
朝阳路社区,7,4,34,51,84,2.351654379148879,0.03898557538571295,8.333333333333332,4.761904761904762,404.76190476190476,607.1428571428571,282.1556406739907,2180.293587026292,8.228005788926932,4.667201058896228,398.4610196358682,606.5577914209628,0.7199367088607596,23,9,-14
鑫鼎社区,0,1,1,20,8,0.33320269490504395,0.00480081970012554,0.0,12.5,125.0,2500.0,3.0011762068280383,63.02470034338881,1.0071150452467172,8.175886681733518,115.74313783089026,2440.3017425040957,0.7199367088607594,24,119,95
合益路社区,18,2,3,73,54,0.28694391768862104,0.042454722407043025,33.33333333333333,3.7037037037037033,55.55555555555555,1351.851851851852,471.0901135625398,1790.1424315376512,32.1331385511413,3.693308204469777,55.966566922689914,1347.7348889256648,0.7167721518987342,25,24,-1
气象台社区,1,10,14,29,69,0.4492466597828349,0.041496298129931816,1.4492753623188406,14.492753623188406,202.8985507246377,420.28985507246375,265.08388689413135,1036.2370124043316,1.5477012105657466,13.414960345456794,199.86232209341324,420.20860248680765,0.7136075949367089,26,30,4
桔城路社区,20,6,4,38,73,0.5193814294289878,0.04475722206733513,27.397260273972602,8.21917808219178,54.794520547945204,520.5479452054794,580.9118349857421,938.3960411308142,26.68418798889721,7.785864712869656,55.117288804919404,520.1512700805821,0.7136075949367089,27,28,1
王家河社区,17,8,2,38,66,0.4348553808844383,0.03829887921772783,25.757575757575758,12.121212121212121,30.303030303030305,575.7575757575758,652.76061625396,1044.416986006336,25.02763323211553,11.244137305692698,31.242487871737133,575.124222685708,0.7136075949367089,28,26,-2
营盘路社区,0,37,14,48,66,0.3343695820302909,0.018969356001181874,0.0,56.060606060606055,212.12121212121212,727.2727272727273,1950.5142925091784,3268.42935501538,0.15239191129142468,50.65061677349056,208.73061963286332,726.1048968725223,0.7136075949367088,29,22,-7
八一路社区,1,1,30,349,58,0.3781411293886754,0.033148545046578964,1.7241379310344827,1.7241379310344827,517.2413793103449,6017.241379310345,60.3344731175888,11433.382655783078,1.8298427141312774,1.9435017416844316,505.1540247129783,5994.688930965572,0.7128164556962024,30,29,-1
大学路社区,1,6,38,133,97,1.8850592306007283,0.07417226837719469,1.0309278350515463,6.185567010309279,391.7525773195876,1371.1340206185566,94.37489446058588,2305.443850394312,1.1114703086363404,5.999295689185516,386.49477476034906,1368.7913846337935,0.7120253164556962,31,11,-20
