社区,住宅,停车,出行,出行安全,噪声,消防安全,物业,环境安全,管网安全
石板溪社区,15,4,0,3,13,1,8,0,9
石板社区,8,2,5,6,3,0,5,0,2
磨盘社区,15,0,1,2,2,0,9,0,0
福久源社区,7,0,0,0,1,0,0,0,0
竹涛山社区,1,0,2,0,0,0,1,0,1
红光社区,0,1,0,0,1,0,3,0,0
绿洲社区,0,1,0,0,1,0,0,0,1
绿萝路社区,4,3,15,10,11,1,8,0,9
翁家堰社区,9,7,1,4,7,0,17,0,6
肖家岗社区,3,2,4,2,6,0,3,1,4
胜利二路社区,29,11,6,2,38,1,18,0,6
胜利四路社区,22,12,2,8,34,3,25,0,9
胡家冲社区,18,15,8,12,21,0,7,0,2
至喜社区,0,1,4,1,0,0,0,0,1
船柴社区,6,0,0,2,2,0,4,0,2
艾家嘴社区,16,7,5,1,25,1,19,0,2
花溪路社区,4,10,7,10,16,0,20,0,5
花艳社区,9,19,34,4,15,0,8,0,8
苏家榜社区,0,2,2,0,6,2,1,0,0
英雄山社区,0,0,0,0,1,0,1,0,0
营盘社区,11,2,2,0,3,1,1,0,0
营盘路社区,34,11,7,2,32,2,23,0,6
蔡家畈社区,3,1,2,0,2,1,7,0,1
虎牙社区,0,1,0,0,4,0,0,0,0
西峡社区,6,5,1,3,11,0,8,0,1
解放路社区,4,0,1,1,2,0,2,0,0
谭家河社区,0,0,0,0,1,0,1,0,0
赵家湾社区,7,1,6,4,3,0,3,0,4
金安岭社区,5,0,1,3,0,0,5,0,6
金家台社区,25,1,1,0,8,0,6,0,1
金巴岭社区,0,0,0,1,0,0,0,0,2
金斗山社区,0,5,3,6,2,0,10,0,6
鑫鼎社区,6,6,6,1,12,0,8,0,3
铁路坝社区,3,1,1,0,2,0,0,0,0
锦云社区,24,2,1,1,11,1,9,0,7
锦江社区,1,0,1,0,4,0,0,0,0
锦湖社区,1,3,1,0,3,0,0,0,2
锦绣社区,0,0,1,4,1,0,2,0,2
镇境山社区,1,0,0,1,0,0,0,0,3
长樵溪社区,0,0,0,1,0,0,2,0,0
长江新村社区,0,0,0,0,0,0,0,0,1
长江社区,6,3,2,2,4,1,1,0,1
青岛路社区,3,2,2,1,15,0,1,0,0
韩家坝社区,5,6,3,5,16,0,5,0,2
香锦社区,13,6,2,2,6,1,5,0,4
魏家湾社区,20,9,6,2,16,3,7,0,3
鸡山社区,0,0,1,3,0,0,1,0,0
黄河路社区,5,7,7,7,9,0,4,0,9
黄金卡社区,17,15,6,2,20,3,7,3,5
黄龙寺社区,0,0,6,2,0,0,2,0,1
黑虎山社区,4,1,1,0,2,0,0,0,0
龙盘湖社区,1,1,1,2,1,0,2,0,3
